LIMIT_BAL_clean,SEX,EDUCATION,MARRIAGE,AGE,PAY_SEPT,PAY_AUG,PAY_JUL,PAY_JUN,PAY_MAY,PAY_APR,BILL_AMT_SEPT_clean,BILL_AMT_AUG_clean,BILL_AMT_JUL_clean,BILL_AMT_JUN_clean,BILL_AMT_MAY_clean,BILL_AMT_APR_clean,PAY_AMT_SEPT_clean,PAY_AMT_AUG_clean,PAY_AMT_JUL_clean,PAY_AMT_JUN_clean,PAY_AMT_MAY_clean,PAY_AMT_APR_clean
150000,0,1,1,51,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
360000,1,1,2,35,-1,-1,-1,-1,-2,-1,2010.0,2936.0,640.0,0.0,0.0,4750.0,2936.0,640.0,0,0.0,4750.0,1470.0
150000,1,2,1,40,0,0,0,0,0,-2,142326.0,145231.0,150145.0,150500.0,0.0,0.0,4500.0,6114.0,3500,0.0,0.0,0.0
140000,1,1,1,28,-1,0,1,0,0,-1,1774.709658191331,2059.9267245499227,844.2540899985717,570.0350940652726,383.7657432301889,881.0446247647112,1711.8831989429862,120.7356074721065,87,142.59291572136715,881.0446247647112,659.5459754670067
240000,1,2,1,41,-1,0,-1,-1,-1,-1,341.0673712021079,285.2961222681143,285.2961222681143,285.2961222681143,285.2961222681143,316.98433188970154,229.5248733341207,285.2961222681143,285,285.2961222681143,316.98433188970154,285.2961222681143
278294,1,2,2,37,1,1,1,0,0,0,168679.31351506463,170556.03286497312,165829.30392585672,167030.40831321315,164564.08848184528,160247.38495512182,6048.431983136787,518.3108071891811,5844,5688.304638065962,5568.776915065278,5682.667953874904
100000,0,2,2,27,3,2,0,0,-1,-1,104489.0,101123.0,101600.0,17046.0,1075.0,1442.0,0.0,4384.0,341,1075.0,1442.0,1396.0
260000,0,1,2,31,0,0,0,0,0,0,69343.0,70585.0,71430.0,73837.0,73271.0,74266.0,4000.0,4000.0,4007,13990.0,2056.0,2623.0
70000,0,2,2,33,0,0,0,0,0,2,14320.0,15383.0,16318.0,17048.0,18772.0,18320.0,1600.0,1500.0,1000,2000.0,0.0,1000.0
500000,0,1,2,26,-1,-1,-1,-1,-1,0,1419.0,1293.0,1111.0,1175.0,3162.0,1638.0,1293.0,1111.0,1175,3162.0,33.0,2000.0
80000,1,2,1,45,0,0,1,0,0,0,77765.7498412996,79078.58475500795,78681.55151757346,77754.96953978302,78075.38769094157,78742.36291410858,4818.734675665614,2964.592213847636,2966,2975.8625967078046,2979.619390994528,4803.613578661554
90000,0,2,2,42,0,0,0,-1,-1,-1,92837.0,95413.0,94460.0,10031.0,11243.0,3343.0,4500.0,2000.0,10061,11277.0,3808.0,14741.0
19335,1,1,2,24,-1,0,-1,0,0,0,3126.626382567075,2184.632704231193,13699.264376160032,9140.730495082562,1534.5400748915963,830.3830032497399,2143.5257536761,14369.582969861878,8586,1008.8492500222616,480.0774068392117,0.0
100000,0,1,1,36,2,0,0,0,-2,-2,94796.0,51713.0,25272.0,0.0,0.0,0.0,2624.0,1000.0,0,0.0,0.0,0.0
198350,1,1,1,37,2,2,2,2,1,1,158695.0798734663,167184.94430629953,169002.39265899474,164788.49341928927,169385.86759138267,172554.70884799573,12562.871974547608,6016.498732842471,0,7273.472398072864,6082.988626197633,4412.468321061791
400000,0,1,2,32,1,2,2,2,2,2,29864.0,29104.0,31379.0,27969.0,9513.0,1346.0,0.0,3000.0,0,1000.0,0.0,10025.0
20000,0,3,1,31,1,2,0,0,0,0,15895.77312255823,15342.959530111291,16430.47200266482,17246.888427768128,17599.06422925667,18005.702437323904,0.0,1346.6851339336013,1162,513.0834870163387,567.5671057240693,591.3965744740826
20000,1,2,1,34,0,0,2,3,2,0,14950.0,16446.0,19844.0,19162.0,18704.0,19226.0,2065.0,3398.0,0,0.0,780.0,18010.0
50000,1,3,2,26,2,0,0,0,0,0,31708.0,32439.0,28302.0,13881.0,14376.0,15261.0,1700.0,2000.0,1500,1100.0,1500.0,2000.0
360000,1,3,1,37,-1,-1,-2,-2,-2,-1,303.0,0.0,0.0,0.0,0.0,860.0,0.0,0.0,0,0.0,860.0,0.0
20000,1,3,2,44,1,2,2,2,2,2,9397.942450892262,9100.4008799086,10085.270619218569,9764.792241702284,10524.544393163484,10851.654372807045,0.0,1278.5878313721153,0,934.5101405232372,632.7449297383813,0.0
500000,0,2,1,42,0,0,0,0,0,0,350110.6799999999,337495.28,325030.38999999897,76519.0,77223.0,76684.0,17624.0,14783.0,3000,3000.0,2853.0,2385.0
60000,1,2,2,28,1,0,0,0,1,1,55713.78301206796,56566.84102901959,54852.309996372125,61299.35951098573,60919.578801464086,60602.40983690222,2378.29365190106,2534.1419942110524,7529,1113.17460760424,556.58730380212,813.7306381586995
260000,1,3,1,48,0,0,0,0,-1,0,200716.0,203751.0,205530.0,-170000.0,171696.0,174151.0,8812.0,9158.0,0,67054.43999999961,10000.0,7000.0
500000,0,1,1,37,-2,-2,-2,-2,-2,-2,4439.0,3487.0,7491.0,2310.0,12000.0,0.0,3913.0,7494.0,2310,12000.0,0.0,0.0
100000,1,2,1,33,3,3,2,1,1,1,82531.5176922354,82261.28672171677,83102.7075301947,81551.1433564161,83838.25265005937,88718.18802831095,1626.5929231058417,2774.9115166115853,325,3747.5663736470296,6434.822988800295,2864.4247913409918
160000,0,1,2,33,-1,-1,-1,-1,-1,-1,5256.0,3290.0,1140.0,559.0,2065.0,450.0,3290.0,1140.0,559,2065.0,450.0,825.0
380000,1,1,2,42,0,0,0,2,-1,0,1837.0,4791.0,6697.0,2700.0,1218.0,1533.0,3000.0,2000.0,0,1218.0,700.0,500.0
50000,0,2,1,41,0,0,-1,0,0,0,10400.0,0.0,23425.0,19040.0,19624.0,20152.0,0.0,23425.0,1500,900.0,993.0,1100.0
15577,1,1,2,33,0,0,1,0,-1,0,10866.438518680192,14658.55166732957,11545.51239179941,-3587.376871447371,14093.80505636609,10525.61258727674,4463.386560140804,520.8667456929118,584,26241.11874182134,295.85242016717774,421.435400052788
120000,1,1,1,42,0,0,2,2,2,0,7722.0,9591.0,10687.0,11905.0,11420.0,12081.0,2000.0,1400.0,1700,0.0,1000.0,700.0
80000,0,2,2,27,0,0,0,0,0,0,79534.0,81391.0,77033.0,47413.0,48650.0,49841.0,3174.0,2308.0,3400,2000.0,2000.0,14410.0
200000,1,1,2,42,1,2,2,-1,-1,0,941.5818748843078,590.9710768225616,119.55848902923442,467.68268568628736,466.4393849839407,466.4393849839407,0.0,0.0,467,466.4393849839407,119.55848902923442,119.55848902923442
290000,1,2,1,34,-2,-2,-2,-2,-1,-1,1885.5720003507656,1033.1247177945522,1885.5720003507656,1033.1247177945522,1411.6637382037245,2095.816663228061,1033.1247177945522,1885.5720003507656,1033,1411.6637382037245,2095.816663228061,1522.9379567639594
50000,1,2,1,32,2,0,0,2,2,2,28059.217457866944,29291.81184410205,31899.297398641644,31299.86786849796,32559.052396251434,33789.20937948165,1750.481515346942,3350.481515346942,214,1800.963030693884,1900.963030693884,214.58010016325125
300000,0,3,1,41,1,-1,-1,-1,-2,-1,0.0,1018.0,685.0,1144.0,0.0,67.0,1018.0,687.0,1144,0.0,67.0,0.0
50000,0,2,1,44,0,0,-2,-2,-2,-2,49644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
100000,1,2,1,34,0,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
50000,0,2,1,30,0,0,0,0,0,2,25422.0,26456.0,27835.0,29070.0,30891.0,54741.0,1450.0,1800.0,2000,2600.0,0.0,2020.0
50000,0,1,2,30,-1,-1,-1,-1,-1,-1,14855.0,7468.0,12372.0,14029.0,14298.0,16496.0,7468.0,12534.0,14031,14298.0,16496.0,600.0
280000,0,1,1,29,-1,-1,-1,-1,-1,-1,2597.0,3807.0,1160.0,985.0,0.0,65862.0,3807.0,1160.0,985,0.0,65607.55999999991,66240.0
90000,0,1,2,25,-1,-1,2,-1,0,-1,3407.0,10839.0,4788.0,7370.0,1051.0,14014.0,10850.0,5.0,5042,0.0,14014.0,5812.0
50000,0,1,2,35,1,1,1,1,1,1,28901.658221504866,29206.979062532155,30743.804151467222,31156.681840184287,30622.967825461103,32783.81921428717,1039.4511959449485,2293.0895644753787,1190,90.81065842769452,2683.798276819323,1063.2730313997836
130000,1,1,1,60,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
86529,1,2,1,29,2,0,0,-2,-2,-1,86903.84867041367,69537.25396126712,-69.21594253098337,-69.21594253098337,-69.21594253098337,45.05566070413069,3182.521130066526,0.0,0,0.0,163.24514747873437,163.24514747873437
50000,1,2,1,29,1,1,2,0,0,0,14963.393983691129,17891.173213399165,17316.94335543778,18356.96210313422,17424.46684770538,18019.2372203322,3440.072633426052,0.0,1409,471.19581316571146,894.1648174943455,890.1783892949741
80000,0,2,1,41,0,0,0,0,0,0,21709.0,22432.0,23693.0,24089.0,24832.0,25269.0,1378.0,1639.0,1089,1132.0,1000.0,1100.0
180000,0,1,2,27,1,-2,-2,-2,-2,-2,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,0.0,0.0,0,0.0,0.0,0.0
30000,1,2,2,24,0,0,2,0,0,0,22885.0,25886.0,25172.0,27239.0,57036.0,28789.0,3700.0,0.0,2500,2100.0,3000.0,1700.0
50000,1,2,2,35,1,2,2,0,0,2,40624.0,41381.0,40416.0,41395.0,44063.0,44587.0,1700.0,0.0,1650,3505.0,1400.0,1700.0
40000,1,2,1,43,1,2,0,0,0,0,32794.78739917887,31978.59428553742,34293.51302706335,34413.1149617741,35217.59756375456,36267.044823326425,0.0,2998.146286960113,825,1440.9670251926682,1700.964111221876,1722.7385691426134
89660,0,2,2,27,1,0,0,0,1,0,48149.53523087249,49561.67434901489,47774.16763719017,47127.326971596136,46296.780635138544,47471.37853768856,2564.5829967107243,2466.008949099619,3625,59.21241066846412,2186.4035796398475,1810.1973152701144
170000,0,2,2,43,1,-1,-1,-1,-1,-1,0.0,1010.0,970.0,290.0,590.0,1222.0,1010.0,970.0,290,590.0,1222.0,0.0
170000,0,2,2,25,0,0,0,0,0,0,4360.0,7927.0,49946.0,49464.0,46476.0,19417.0,7000.0,49008.0,1000,949.0,1143.0,17336.0
280000,0,2,2,31,1,-2,-2,-2,-1,-1,0.0,0.0,0.0,0.0,5360.0,251.0,0.0,0.0,0,5360.0,251.0,5360.0
200000,1,1,2,29,1,-2,-1,2,0,-1,0.0,0.0,2348.0,1790.0,1790.0,350.0,0.0,2348.0,0,0.0,350.0,2570.0
90000,0,2,1,55,-2,-2,-2,-2,-2,-2,3388.0,0.0,0.0,0.0,0.0,7707.0,0.0,0.0,0,0.0,7707.0,0.0
20000,1,3,1,47,0,0,0,0,0,0,16013.0,14334.0,9086.0,5096.0,5096.0,5200.0,1419.0,1270.0,1200,0.0,104.0,0.0
150000,1,2,1,57,2,2,2,2,2,2,14496.0,15546.0,16303.0,15744.0,16582.0,17166.0,1600.0,1300.0,0,1100.0,1000.0,1000.0
340000,1,1,2,29,-1,0,0,0,0,0,44855.0,331641.0,325030.38999999897,286660.0,263505.0,268256.0,66522.17999999854,13214.0,12005,13005.0,10011.0,12005.0
220000,1,1,2,31,-1,-1,-1,-1,-1,-1,1140.7984855781242,2354.3412853840264,234.2080751326203,4652.280216190057,885.3466795100745,2073.0716487384966,2354.3412853840264,234.2080751326203,4675,587.771905602268,2073.0716487384966,3560.1407823607847
50000,1,2,1,25,0,0,0,0,0,0,47559.88028520216,48223.19159901471,48585.85596968109,37542.85572755952,38602.1815190168,37887.05766845733,5717.743305951153,1849.8572346217336,1506,1722.6441711433188,1557.8947430832504,1858.178386310629
100000,0,2,1,35,2,2,2,2,2,2,53850.97276247471,55393.34727292938,55847.78029280607,59195.14823173637,61270.548792270914,62384.70095512103,3000.0,1956.436921488232,4329,3226.528008261195,2278.413541321183,2456.436921488232
30000,0,2,1,22,2,0,0,0,0,0,26846.0,27718.0,28067.0,28334.0,28984.0,14769.0,2000.0,1500.0,1000,800.0,728.0,1000.0
50000,0,2,1,26,0,0,0,0,0,0,7375.465624036646,5803.976946576659,5768.717256762106,6528.561790985229,5815.13174624556,3571.506960941479,987.5494156902454,1375.645324874166,1028,774.1801091808348,722.251783304113,782.7209522526641
100000,0,2,2,42,0,0,0,0,0,0,117464.0,81625.0,81815.0,78927.0,77418.0,74657.0,2962.0,2986.0,2807,2686.0,2767.0,2909.0
20000,1,3,2,51,0,0,0,0,-1,-1,9953.0,13989.0,14953.0,14710.0,900.0,0.0,5000.0,1275.0,2704,3200.0,0.0,0.0
220000,1,1,2,38,0,0,0,0,0,0,159322.0,164176.0,167028.0,170480.0,173818.0,177556.0,7500.0,7000.0,6500,6000.0,6000.0,10000.0
180000,0,1,2,27,-1,-1,-1,-1,-1,-1,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264.0,264,264.0,264.0,264.0
20000,1,2,2,25,0,0,1,1,0,0,15653.526868903224,17970.36412502815,19061.736791716263,18614.81434515958,18845.87481528296,19251.595202182936,2894.066071600927,1679.4066071600928,155,768.644642799691,745.763095199794,800.2791607642688
210000,0,1,2,36,-2,-2,-2,-1,-1,-1,14516.0,4895.0,5292.0,8866.0,16809.0,5794.0,4915.0,5292.0,8872,16876.0,5794.0,2415.0
220000,0,1,1,36,1,1,-1,1,0,2,3742.504052228588,3601.8665703671904,2455.213853403164,1290.5564240975507,2803.914112224462,2574.8603612944507,198.679161060202,3213.964471038883,311,2679.419027190711,78.91922981537319,0.1972980745384329
50000,1,1,2,25,0,0,0,0,0,0,48848.0,48208.0,48265.0,43451.0,19790.0,17790.0,1845.0,1967.0,1400,396.0,0.0,0.0
483086,1,1,1,37,0,0,0,0,0,0,116563.30845142055,67652.62234689393,64109.174280521685,41952.23908791692,89280.74251929727,86229.73554108586,4527.289330391812,3741.0945856281664,2448,39113.42589990762,4171.769929387016,4176.132002351839
100000,0,2,2,23,-2,-2,-2,-1,-1,0,101771.0,102878.0,79618.0,4370.0,78453.0,80063.0,3800.0,7.0,971,67054.43999999961,2861.0,2698.0
50000,1,2,1,30,2,1,1,0,0,0,8338.43572808774,9095.712983948008,9822.4242332261,11574.100956156588,12319.711531429297,13196.343121366845,1042.2640263287133,1044.6120277914197,1954,963.3350540823556,1096.268059970958,909.6922514343732
20000,1,2,1,44,0,0,0,0,0,0,14370.061156781809,15695.453544283731,17070.596599619137,18490.619693910576,18865.39869534157,19268.641504215928,1569.546455716267,1938.3727142637,2015,726.7640332320625,727.5013356669543,1077.0341071703754
120000,0,2,2,29,0,0,0,0,0,0,82064.0,83847.0,85558.0,86491.0,88136.0,89886.0,4000.0,4000.0,3250,3195.0,3210.0,4200.0
20000,1,2,1,35,1,0,0,1,0,0,11822.12674142856,12587.504758439014,14650.693667477364,14389.150877512197,16448.76133528224,17238.86538815334,1267.5932694076669,2279.0244979651798,273,2369.1578252334552,1118.8158314076825,0.0
50000,0,2,2,23,0,0,0,0,2,0,48409.0,39572.0,16922.0,19319.0,17644.0,18209.0,1605.0,1603.0,3000,0.0,1000.0,1000.0
60000,0,3,1,42,0,0,2,2,2,0,26536.0,26443.0,18486.0,19077.0,18487.0,18429.0,5000.0,0.0,3000,2.0,1000.0,1000.0
80000,1,1,1,37,2,0,0,0,0,0,81970.0,78754.0,74789.0,45883.0,29616.0,28916.0,3000.0,3139.0,2001,2081.0,1200.0,1500.0
140000,1,2,1,33,-1,-1,-1,-1,-1,-1,425.72786428757166,425.72786428757166,686.5545862704514,425.72786428757166,425.72786428757166,425.72786428757166,425.72786428757166,686.5545862704514,425,425.72786428757166,425.72786428757166,838.0642262458007
290000,1,2,2,29,0,0,0,0,0,0,1199.0,2528.0,3781.0,6076.0,6336.0,10570.0,2000.0,2000.0,3000,1000.0,5000.0,1000.0
200000,0,1,1,35,-1,2,-1,-1,-1,-1,1972.0,582.0,1891.0,0.0,1908.0,290.0,0.0,1891.0,0,1908.0,290.0,3100.0
60000,0,3,1,46,0,0,0,0,0,0,58584.0,59250.0,52413.0,44436.0,28098.0,26749.0,2700.0,2219.0,1727,1120.0,1500.0,1100.0
200000,0,2,1,25,0,0,0,0,0,0,108174.0,111378.0,113751.0,110828.0,110592.0,103734.0,5000.0,4200.0,3820,4000.0,3760.0,4006.0
50000,1,2,2,38,0,0,0,-2,-2,-2,26533.0,16426.0,0.0,0.0,0.0,0.0,1000.0,0.0,0,0.0,0.0,0.0
290000,0,2,2,54,-2,-2,-2,-2,-2,-2,-68.0,-68.0,-68.0,675.0,-6.0,2168.0,0.0,0.0,743,0.0,2174.0,972.0
20000,1,2,1,24,0,0,0,0,0,0,10085.0,11416.0,12520.0,12714.0,13059.0,13193.0,1500.0,1600.0,700,700.0,500.0,1000.0
200000,0,2,2,46,0,0,0,0,0,0,121198.0,123834.0,136629.0,139504.0,142269.0,145250.0,4593.0,14955.0,5143,5166.0,5349.0,5538.0
140000,0,2,2,23,0,0,0,0,0,0,21001.0,16400.0,20729.0,15583.0,7218.0,7365.0,4000.0,5000.0,2000,0.0,147.0,1000.0
290000,1,1,1,39,0,-1,-1,-1,-2,-2,607.8230189160681,6468.403249828768,31.802856169150964,3530.6267160867533,-0.0873704839811839,1871.4206109404304,6468.796417006683,31.890226653132142,3530,0.0,1871.507981424412,0.0
70000,1,1,2,28,0,0,2,2,2,0,36162.3889123873,39081.1427433776,38662.33993918844,40839.08176491787,38733.09677149396,40204.15142993813,3765.5503151639055,488.90794485852274,3133,0.0,2257.898940912871,1785.3767011154937
200000,1,1,2,39,-2,-2,-2,-2,-2,-2,-200.0,-200.0,-200.0,0.0,60800.0,0.0,0.0,0.0,200,60800.0,0.0,0.0
180000,0,2,1,34,2,2,2,2,2,2,94564.27487418686,96589.91675030148,97852.33958367932,99222.39729528736,101289.20802316266,103469.2386284378,4452.1073798366815,3739.463100816593,3880,4000.0,4000.0,4000.0
360000,1,1,2,40,-1,3,2,-1,-1,2,499.0,499.0,499.0,13136.0,9160.0,2752.0,0.0,0.0,13169,2784.0,12.0,14293.0
100000,0,2,1,27,1,-2,-2,-2,-2,-1,0.0,0.0,0.0,0.0,0.0,4747.0,0.0,0.0,0,0.0,4747.0,1198.0
30000,1,2,1,43,2,2,2,2,1,1,17907.28092970824,18824.56349358489,19483.09674029576,19549.294586392563,19936.996171494684,19750.579523606106,1503.3157210875286,1256.8555276405775,677,903.3157210875286,225.59665079576664,1474.403349204233
20000,0,2,2,42,2,2,2,2,2,2,18155.0,17595.0,19355.0,19554.0,19795.0,19342.0,0.0,2344.0,800,683.0,0.0,1500.0
170000,0,2,1,50,-1,-1,-1,-1,-1,-1,79210.0,660.0,15360.0,891.0,13460.0,32136.0,660.0,15360.0,891,13460.0,32136.0,0.0
180000,1,3,1,37,-2,-2,-2,-2,-2,-2,11368.0,3595.0,3837.0,5760.0,0.0,925.0,3595.0,3842.0,5760,0.0,925.0,2755.0
200000,1,1,1,34,-1,-1,-1,-1,-1,2,2727.0,1332.0,2003.0,816.0,4530.0,4245.0,1332.0,2003.0,816,4530.0,0.0,0.0
50000,0,2,2,24,0,0,0,0,0,0,27890.0,27788.0,19742.0,20672.0,16336.0,16921.0,2000.0,2000.0,1600,1000.0,1000.0,1000.0
50000,0,2,1,43,0,1,0,0,1,1,29755.04973833543,29643.115203711182,30859.132595233317,32633.383385236044,33196.24087612618,32991.46624213393,546.3504835954784,1713.087898312504,2487,1177.6057601855591,431.0016884664062,1223.9719468367623
342419,0,2,1,28,-1,-1,-1,0,0,0,2812.633904984628,5189.79907556197,185029.5220926815,121897.2544480255,76900.89013776151,42751.7420813176,6539.427082575151,76651.01999999999,5854,5000.0,4013.0082848789625,7331.014954663234
50000,0,3,2,31,-1,3,2,-1,2,0,780.0,780.0,390.0,2724.0,2183.0,2638.0,0.0,0.0,2724,0.0,1004.0,2032.0
50000,1,2,1,25,0,-1,2,0,0,-1,1748.283031382456,4013.717769950521,3640.1075978133663,4796.317916410834,150.75586481812218,100.50390987874812,2490.0784601786363,0.0,1435,0.0,0.0,0.0
360000,0,2,1,26,0,0,0,0,0,0,350110.6799999999,337495.28,325030.38999999897,293597.0,249345.0,228470.0,14245.0,14061.0,11028,8813.0,7900.0,8100.0
20000,0,2,2,22,0,0,0,0,0,0,15513.0,17908.0,18652.0,19156.0,19206.0,19948.0,3000.0,1666.0,1500,592.0,1284.0,0.0
20000,1,2,2,26,3,2,2,2,2,2,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.0,0,0.0,0.0,0.0
50000,1,1,2,29,-1,-1,-2,-2,-2,-2,1528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
130000,0,2,1,37,1,-2,-1,-1,-1,-1,0.0,0.0,306.0,3670.0,1473.0,5555.0,0.0,306.0,3670,1473.0,5555.0,1473.0
90000,1,3,1,38,2,2,2,0,0,0,28774.0,29420.0,28502.0,30162.0,17274.0,15243.0,1400.0,0.0,2041,1007.0,1015.0,330.0
300000,0,2,1,44,0,-1,-1,-1,-1,-1,7948.0,576.0,2660.0,2319.0,1905.0,257.0,576.0,2684.0,2319,1905.0,257.0,3743.0
400000,0,1,1,39,0,-1,-1,-1,0,-1,1991.0,2920.0,1721.0,2018.0,446.0,1068.0,2920.0,2500.0,2018,0.0,1068.0,0.0
200000,0,1,1,38,-1,1,-1,-1,-1,-1,4589.861380930912,1367.6302002277337,2423.1308131980463,420.33759705940486,129.39190851481703,5932.936166772254,290.79231706934024,2425.124642376264,422,550.7033510198158,6675.254106970358,2477.1491214553944
60000,1,1,2,29,-1,-1,2,0,-1,-1,816.0,2440.0,1444.0,1634.0,1335.0,1825.0,2440.0,0.0,1000,1335.0,888.0,150.0
50000,0,2,2,53,0,0,0,-1,-1,2,7343.0,7969.0,8832.0,10931.0,11578.0,10547.0,1139.0,1002.0,13359,800.0,0.0,426.0
45167,0,2,2,25,0,1,0,0,0,0,5517.344822903345,5693.218732533,6445.840869622902,6204.420841945241,6374.293941575908,42986.35699209682,724.4305683359784,1209.0900059309274,209,619.8426915870499,37114.35962405996,1138.6764646480538
140000,1,2,2,27,0,0,0,0,0,0,80210.0,67746.0,76230.0,77954.0,78953.0,81848.0,10000.0,10000.0,3393,3260.0,5000.0,3000.0
152575,1,2,2,39,2,2,0,0,0,0,164249.48046951694,157239.39422508708,156658.35287850947,155648.13368582766,153104.60972989016,158268.34121695647,824.2846606060803,6022.987066674251,5657,4016.4437456628457,11257.5889564394,0.0
20000,1,1,1,31,0,0,0,0,0,0,14939.699144096374,15873.315233643578,19324.857725227062,20143.82503939361,20395.1218187078,19810.01307433338,1234.2019538382124,3736.9991554349344,1181,736.9991554349342,736.9991554349342,817.8777955686379
30000,0,1,2,33,3,2,2,2,0,0,21167.0,20529.0,24191.0,23510.0,24813.0,25264.0,0.0,4000.0,0,2000.0,1000.0,2000.0
220000,1,1,2,47,0,0,0,0,0,0,159351.0,162791.0,167631.0,169593.0,172967.0,183598.0,6000.0,7536.0,6231,6271.0,13500.0,0.0
80000,0,2,1,25,1,-2,-2,-2,-1,-1,0.0,0.0,0.0,0.0,13369.0,0.0,0.0,0.0,0,13369.0,0.0,0.0
210000,0,4,2,32,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
